SKU|Make|Model|Year|Submodel|ourBodyTypeName|_BodyNumDoors_|Universal SKU|SKU_Naumkin|Required SKU|Optional SKU|Available|Available1|ourMake|Fitment_note|ourRealModel|_MfrBodyCodeName_|ourModel|Available2|Processing|Brand|_BodyTypeName_|Part#1|NumDoor|Length_b|MMY
F09107CC-6-TXR|Ford|F-150|2014|||||F09107CC-6-TXR|||||Ford||||||True|RBP®|Crew Cab Pickup|F09107CC-6-TXR|4 Door|6'6" Bed|
F09107CC-6-TXR|Ford|Lobo|2009|||4||F09107CC-6-TXR|||||Ford||||||True|RBP®|Crew Cab Pickup|F09107CC-6-TXR||6'6" Bed|
F09107CC-6-TXR|Ford|Lobo|2010|||4||F09107CC-6-TXR|||||Ford||||||True|RBP®|Crew Cab Pickup|F09107CC-6-TXR||6'6" Bed|
F09107CC-6-TXR|Ford|Lobo|2011|||4||F09107CC-6-TXR|||||Ford||||||True|RBP®|Crew Cab Pickup|F09107CC-6-TXR||6'6" Bed|
F09107CC-6-TXR|Ford|Lobo|2012|||4||F09107CC-6-TXR|||||Ford||||||True|RBP®|Crew Cab Pickup|F09107CC-6-TXR||6'6" Bed|
F09107CC-6-TXR|Ford|Lobo|2013|||4||F09107CC-6-TXR|||||Ford||||||True|RBP®|Crew Cab Pickup|F09107CC-6-TXR||6'6" Bed|
F09107CC-6-TXR|Ford|Lobo|2014|||4||F09107CC-6-TXR|||||Ford||||||True|RBP®|Crew Cab Pickup|F09107CC-6-TXR||6'6" Bed|
F09102CC-6-TXR|Ford|F-150|2009|||4||F09102CC-6-TXR|||||Ford||||||True|RBP®|Crew Cab Pickup|F09102CC-6-TXR||5'6" Bed|
F09102CC-6-TXR|Ford|F-150|2010|||||F09102CC-6-TXR|||||Ford||||||True|RBP®|Crew Cab Pickup|F09102CC-6-TXR|4 Door|5'6" Bed|
F09102CC-6-TXR|Ford|F-150|2011|||||F09102CC-6-TXR|||||Ford||||||True|RBP®|Crew Cab Pickup|F09102CC-6-TXR|4 Door|5'6" Bed|
F09102CC-6-TXR|Ford|F-150|2012|||||F09102CC-6-TXR|||||Ford||||||True|RBP®|Crew Cab Pickup|F09102CC-6-TXR|4 Door|5'6" Bed|
F09102CC-6-TXR|Ford|F-150|2013|||||F09102CC-6-TXR|||||Ford||||||True|RBP®|Crew Cab Pickup|F09102CC-6-TXR|4 Door|5'6" Bed|
F09102CC-6-TXR|Ford|F-150|2014|||||F09102CC-6-TXR|||||Ford||||||True|RBP®|Crew Cab Pickup|F09102CC-6-TXR|4 Door|5'6" Bed|
F09102CC-6-TXR|Ford|Lobo|2009|||4||F09102CC-6-TXR|||||Ford||||||True|RBP®|Crew Cab Pickup|F09102CC-6-TXR||5'6" Bed|
F09102CC-6-TXR|Ford|Lobo|2010|||4||F09102CC-6-TXR|||||Ford||||||True|RBP®|Crew Cab Pickup|F09102CC-6-TXR||5'6" Bed|
F09102CC-6-TXR|Ford|Lobo|2011|||4||F09102CC-6-TXR|||||Ford||||||True|RBP®|Crew Cab Pickup|F09102CC-6-TXR||5'6" Bed|
F09102CC-6-TXR|Ford|Lobo|2012|||4||F09102CC-6-TXR|||||Ford||||||True|RBP®|Crew Cab Pickup|F09102CC-6-TXR||5'6" Bed|
F09102CC-6-TXR|Ford|Lobo|2013|||4||F09102CC-6-TXR|||||Ford||||||True|RBP®|Crew Cab Pickup|F09102CC-6-TXR||5'6" Bed|
F09102CC-6-TXR|Ford|Lobo|2014|||4||F09102CC-6-TXR|||||Ford||||||True|RBP®|Crew Cab Pickup|F09102CC-6-TXR||5'6" Bed|
N0487QC-6-TXR|Nissan|Titan|2004|||||N0487QC-6-TXR|||||Nissan||||||True|RBP®|Extended Cab Pickup|N0487QC-6-TXR||6'6" Bed|
N0487QC-6-TXR|Nissan|Titan|2005|||||N0487QC-6-TXR|||||Nissan||||||True|RBP®|Extended Cab Pickup|N0487QC-6-TXR||6'6" Bed|
N0487QC-6-TXR|Nissan|Titan|2006|||||N0487QC-6-TXR|||||Nissan||||||True|RBP®|Extended Cab Pickup|N0487QC-6-TXR||6'6" Bed|
N0487QC-6-TXR|Nissan|Titan|2007|||||N0487QC-6-TXR|||||Nissan||||||True|RBP®|Extended Cab Pickup|N0487QC-6-TXR||6'6" Bed|
N0487QC-6-TXR|Nissan|Titan|2008|||||N0487QC-6-TXR|||||Nissan||||||True|RBP®|Extended Cab Pickup|N0487QC-6-TXR||6'6" Bed|
N0487QC-6-TXR|Nissan|Titan|2009|||||N0487QC-6-TXR|||||Nissan||||||True|RBP®|Extended Cab Pickup|N0487QC-6-TXR||6'6" Bed|
N0487QC-6-TXR|Nissan|Titan|2010|||||N0487QC-6-TXR|||||Nissan||||||True|RBP®|Extended Cab Pickup|N0487QC-6-TXR||6'6" Bed|
N0487QC-6-TXR|Nissan|Titan|2011|||||N0487QC-6-TXR|||||Nissan||||||True|RBP®|Extended Cab Pickup|N0487QC-6-TXR||6'6" Bed|
N0487QC-6-TXR|Nissan|Titan|2012|||||N0487QC-6-TXR|||||Nissan||||||True|RBP®|Extended Cab Pickup|N0487QC-6-TXR||6'6" Bed|
N0487QC-6-TXR|Nissan|Titan|2013|||||N0487QC-6-TXR|||||Nissan||||||True|RBP®|Extended Cab Pickup|N0487QC-6-TXR||6'6" Bed|
N0487CC-6-TXR|Nissan|Titan|2004|||||N0487CC-6-TXR|||||Nissan||||||True|RBP®|Crew Cab Pickup|N0487CC-6-TXR||5' Bed|
N0487CC-6-TXR|Nissan|Titan|2005|||||N0487CC-6-TXR|||||Nissan||||||True|RBP®|Crew Cab Pickup|N0487CC-6-TXR||5' Bed|
N0487CC-6-TXR|Nissan|Titan|2006|||||N0487CC-6-TXR|||||Nissan||||||True|RBP®|Crew Cab Pickup|N0487CC-6-TXR||5' Bed|
N0487CC-6-TXR|Nissan|Titan|2007|||||N0487CC-6-TXR|||||Nissan||||||True|RBP®|Crew Cab Pickup|N0487CC-6-TXR||5' Bed|
N0487CC-6-TXR|Nissan|Titan|2008|||||N0487CC-6-TXR|||||Nissan||||||True|RBP®|Crew Cab Pickup|N0487CC-6-TXR||5' Bed|
N0487CC-6-TXR|Nissan|Titan|2009|||||N0487CC-6-TXR|||||Nissan||||||True|RBP®|Crew Cab Pickup|N0487CC-6-TXR||5' Bed|
N0487CC-6-TXR|Nissan|Titan|2010|||||N0487CC-6-TXR|||||Nissan||||||True|RBP®|Crew Cab Pickup|N0487CC-6-TXR||5' Bed|
N0487CC-6-TXR|Nissan|Titan|2011|||||N0487CC-6-TXR|||||Nissan||||||True|RBP®|Crew Cab Pickup|N0487CC-6-TXR||5' Bed|
N0487CC-6-TXR|Nissan|Titan|2012|||||N0487CC-6-TXR|||||Nissan||||||True|RBP®|Crew Cab Pickup|N0487CC-6-TXR||5' Bed|
N0487CC-6-TXR|Nissan|Titan|2013|||||N0487CC-6-TXR|||||Nissan||||||True|RBP®|Crew Cab Pickup|N0487CC-6-TXR||5' Bed|
T0683QC-6-TXR|Toyota|Tacoma|2005|||||T0683QC-6-TXR|||||Toyota||||||True|RBP®|Extended Cab Pickup|T0683QC-6-TXR||6' Bed|
T0683QC-6-TXR|Toyota|Tacoma|2006|||||T0683QC-6-TXR|||||Toyota||||||True|RBP®|Extended Cab Pickup|T0683QC-6-TXR||6' Bed|
T0683QC-6-TXR|Toyota|Tacoma|2007|||||T0683QC-6-TXR|||||Toyota||||||True|RBP®|Extended Cab Pickup|T0683QC-6-TXR||6' Bed|
T0683QC-6-TXR|Toyota|Tacoma|2008|||||T0683QC-6-TXR|||||Toyota||||||True|RBP®|Extended Cab Pickup|T0683QC-6-TXR||6' Bed|
T0683QC-6-TXR|Toyota|Tacoma|2009|||||T0683QC-6-TXR|||||Toyota||||||True|RBP®|Extended Cab Pickup|T0683QC-6-TXR||6' Bed|
T0683QC-6-TXR|Toyota|Tacoma|2010|||||T0683QC-6-TXR|||||Toyota||||||True|RBP®|Extended Cab Pickup|T0683QC-6-TXR||6' Bed|
T0683QC-6-TXR|Toyota|Tacoma|2011|||||T0683QC-6-TXR|||||Toyota||||||True|RBP®|Extended Cab Pickup|T0683QC-6-TXR||6' Bed|
