SKU|CORE DEPOSIT|CF SHIPPING|SBOX|Available|BRANDNAME|PACKAGE|SHIPPINGTYPE|Templates|forname1|forname2|Core|Valid|Price|Height|Length|Width|Weight|UPC|DATA SOURCE|IN STOCK|MainProduct|VENDORID
142.44052|||||Centric®|||Centric Posi Quiet Loaded Brake Caliper|Posi Quiet™|Loaded Brake Caliper||True|48.84|5.38|9.38|7.25|8.00|805890460237|||M|
142.44055|||||Centric®|||Centric Posi Quiet Loaded Brake Caliper|Posi Quiet™|Loaded Brake Caliper||True|47.37|5.38|9.38|7.25|8.00|805890461227|||M|
142.44056|||||Centric®|||Centric Posi Quiet Loaded Brake Caliper|Posi Quiet™|Loaded Brake Caliper||True|47.37|5.38|9.38|7.25|8.00|805890461517|||M|
142.44011|||||Centric®|||Centric Posi Quiet Loaded Brake Caliper|Posi Quiet™|Loaded Brake Caliper|30|True|63.92|5.38|9.38|7.25|11.00|805890424017|||M|
142.44012|||||Centric®|||Centric Posi Quiet Loaded Brake Caliper|Posi Quiet™|Loaded Brake Caliper|30|True|63.92|5.38|9.38|7.25|11.00|805890424307|||M|
142.44013|||||Centric®|||Centric Posi Quiet Loaded Brake Caliper|Posi Quiet™|Loaded Brake Caliper|30|True|60.08|5.38|9.38|7.25|11.00|805890425007|||M|
142.44014|||||Centric®|||Centric Posi Quiet Loaded Brake Caliper|Posi Quiet™|Loaded Brake Caliper|30|True|60.08|5.38|9.38|7.25|11.00|805890430247|||M|
142.44041|||||Centric®|||Centric Posi Quiet Loaded Brake Caliper|Posi Quiet™|Loaded Brake Caliper|15|True|48.84|5.38|9.38|7.25|9.00|805890450917|||M|
142.44042|||||Centric®|||Centric Posi Quiet Loaded Brake Caliper|Posi Quiet™|Loaded Brake Caliper|15|True|48.84|5.38|9.38|7.25|9.00|805890451037|||M|
145.46002|||||Centric®|||Centric Phenolic Caliper Piston|Phenolic|Caliper Piston|||7.68|4.00|13.00|10.00|6.00||||M|
145.54011|||||Centric®|||Centric Phenolic Caliper Piston|Phenolic|Caliper Piston|||17.53|2.00|4.00|9.00|0.50|805890434849|||M|
117.91010|||||Centric®|||Centric Disc Brake Hardware||Disc Brake Hardware||False|8.22|2.00|9.00|6.00|0.20|805890102328|||M|
146.34003|||||Centric®|||Centric Steel Aluminum Caliper Piston|Steel Aluminum|Caliper Piston|||11.16|2.00|4.00|9.00|1.00|805890152224|||M|
142.44063|||||Centric®|||Centric Posi Quiet Loaded Brake Caliper|Posi Quiet™|Loaded Brake Caliper|30|True|49.76|5.38|9.38|7.25|8.00|805890470717|||M|
142.44064|||||Centric®|||Centric Posi Quiet Loaded Brake Caliper|Posi Quiet™|Loaded Brake Caliper|30|True|49.76|5.38|9.38|7.25|8.00|805890471127|||M|
146.35010|||||Centric®|||Centric Steel Aluminum Caliper Piston|Steel Aluminum|Caliper Piston|||12.22|4.00|13.00|10.00|6.00||||M|
146.36012|||||Centric®|||Centric Steel Aluminum Caliper Piston|Steel Aluminum|Caliper Piston|||31.06|4.00|13.00|10.00|6.00||||M|
146.36013|||||Centric®|||Centric Steel Aluminum Caliper Piston|Steel Aluminum|Caliper Piston|||13.77|4.00|13.00|10.00|6.00||||M|
146.38010|||||Centric®|||Centric Steel Aluminum Caliper Piston|Steel Aluminum|Caliper Piston|||12.64|4.00|13.00|10.00|6.00||||M|
146.41002|||||Centric®|||Centric Steel Aluminum Caliper Piston|Steel Aluminum|Caliper Piston|||29.53|4.00|13.00|10.00|6.00||||M|
146.43004|||||Centric®|||Centric Steel Aluminum Caliper Piston|Steel Aluminum|Caliper Piston|||41.62|4.00|13.00|10.00|6.00||||M|
117.44097|||||Centric®|||Centric Disc Brake Hardware||Disc Brake Hardware||True|11.65|2.00|9.00|6.00|0.10|805890582779|||M|
117.44098|||||Centric®|||Centric Disc Brake Hardware||Disc Brake Hardware||True|10.58|2.00|9.00|6.00|0.10|805890585633|||M|
117.44093|||||Centric®|||Centric Disc Brake Hardware||Disc Brake Hardware||True|10.10|2.00|9.00|6.00|0.25|805890471240|||M|
117.44030|||||Centric®|||Centric Disc Brake Hardware||Disc Brake Hardware||False|16.72|2.00|9.00|6.00|0.20|805890100171|||M|
117.44031|||||Centric®|||Centric Disc Brake Hardware||Disc Brake Hardware||True|21.64|2.00|9.00|6.00|0.20|805890100188|||M|
117.44034|||||Centric®|||Centric Disc Brake Hardware||Disc Brake Hardware||True|12.64|2.00|9.00|6.00|0.20|805890100218|||M|
117.44028|||||Centric®|||Centric Disc Brake Hardware||Disc Brake Hardware||False|15.89|2.00|9.00|6.00|0.20|805890100164|||M|
117.44020|||||Centric®|||Centric Disc Brake Hardware||Disc Brake Hardware||False|32.47|2.00|9.00|6.00|0.20|805890100089|||M|
117.44021|||||Centric®|||Centric Disc Brake Hardware||Disc Brake Hardware||False|35.22|2.00|9.00|6.00|0.20|805890100096|||M|
117.44022|||||Centric®|||Centric Disc Brake Hardware||Disc Brake Hardware||True|14.35|2.00|9.00|6.00|0.20|805890100102|||M|
117.44023|||||Centric®|||Centric Disc Brake Hardware||Disc Brake Hardware||True|12.22|2.00|9.00|6.00|0.20|805890100119|||M|
117.44003|||||Centric®|||Centric Disc Brake Hardware||Disc Brake Hardware||True|17.64|2.00|9.00|6.00|0.20|805890099918|||M|
117.44004|||||Centric®|||Centric Disc Brake Hardware||Disc Brake Hardware||True|14.83|2.00|9.00|6.00|0.20|805890099925|||M|
117.44006|||||Centric®|||Centric Disc Brake Hardware||Disc Brake Hardware||False|18.24|2.00|9.00|6.00|0.20|805890099949|||M|
117.44007|||||Centric®|||Centric Disc Brake Hardware||Disc Brake Hardware||False|9.16|2.00|9.00|6.00|0.20|805890099956|||M|
117.44009|||||Centric®|||Centric Disc Brake Hardware||Disc Brake Hardware||False|18.24|2.00|9.00|6.00|0.20|805890099970|||M|
117.44010|||||Centric®|||Centric Disc Brake Hardware||Disc Brake Hardware||False|18.24|2.00|9.00|6.00|0.20|805890099987|||M|
117.44002|||||Centric®|||Centric Disc Brake Hardware||Disc Brake Hardware||False|13.77|2.00|9.00|6.00|0.20|805890099901|||M|
117.44013|||||Centric®|||Centric Disc Brake Hardware||Disc Brake Hardware||True|21.64|2.00|9.00|6.00|0.20|805890100010|||M|
117.44014|||||Centric®|||Centric Disc Brake Hardware||Disc Brake Hardware||True|17.53|2.00|9.00|6.00|0.20|805890100027|||M|
117.44016|||||Centric®|||Centric Disc Brake Hardware||Disc Brake Hardware||True|9.16|2.00|9.00|6.00|0.20|805890100041|||M|
117.44043|||||Centric®|||Centric Disc Brake Hardware||Disc Brake Hardware||False|9.04|2.00|9.00|6.00|0.20|805890100294|||M|
117.44044|||||Centric®|||Centric Disc Brake Hardware||Disc Brake Hardware||False|9.45|2.00|9.00|6.00|0.20|805890100300|||M|
117.44046|||||Centric®|||Centric Disc Brake Hardware||Disc Brake Hardware||True|21.64|2.00|9.00|6.00|0.20|805890100331|||M|
117.44047|||||Centric®|||Centric Disc Brake Hardware||Disc Brake Hardware||True|13.28|2.00|9.00|6.00|0.20|805890149804|||M|
117.44056|||||Centric®|||Centric Disc Brake Hardware||Disc Brake Hardware||True|11.65|2.00|9.00|6.00|0.20|805890074588|||M|
117.44057|||||Centric®|||Centric Disc Brake Hardware||Disc Brake Hardware||True|13.28|2.00|9.00|6.00|0.20|805890074595|||M|
117.44049|||||Centric®|||Centric Disc Brake Hardware||Disc Brake Hardware||True|14.76|2.00|9.00|6.00|0.20|805890071525|||M|
